City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
Katameya City,"1,300,000", 125 m2,2,2,apartment
Alex Desert Road,"1,100,000", 237 m2,3,3,apartment
Al Ain Al Sokhna,"3,600,000", 195 m2,3,2,villa
New Cairo,"2,986,000", 170 m2,3,2,apartment
Shorouk City,"1,936,300", 122 m2,2,2,apartment
Sheikh Zayed,"4,164,000", 162 m2,3,2,apartment
6th October,"9,830,977", 387 m2,4,3,villa
New Cairo,"11,356,876", 335 m2,3,2,villa
Mostakbal City,"3,315,690", 166 m2,3,2,apartment
Mostakbal City,"2,073,000", 148 m2,3,2,apartment
New Cairo,"2,901,227", 160 m2,3,2,apartment
