City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
Al Ain Al Sokhna,"2,390,040", 120 m2,3,2,chalet
Al Ain Al Sokhna,"2,350,206", 118 m2,3,2,chalet
Al Ain Al Sokhna,"2,330,289", 117 m2,3,2,chalet
Al Ain Al Sokhna,"2,290,455", 115 m2,3,2,chalet
Al Ain Al Sokhna,"2,270,538", 114 m2,3,2,chalet
Al Ain Al Sokhna,"2,230,704", 112 m2,3,2,chalet
Al Ain Al Sokhna,"2,190,870", 110 m2,3,2,chalet
Al Ain Al Sokhna,"1,083,000", 181 m2,3,2,chalet
Al Ain Al Sokhna,"1,750,000", 130 m2,3,2,chalet
Al Ain Al Sokhna,"1,550,000", 104 m2,3,2,chalet
Al Ain Al Sokhna,"1,700,000", 130 m2,3,2,chalet
Al Ain Al Sokhna,"2,589,330", 130 m2,3,2,chalet
Al Ain Al Sokhna,"1,756,325", 175 m2,3,2,duplex
Al Ain Al Sokhna,"1,376,365", 130 m2,3,2,chalet
New Administrative Capital,"1,552,500", 135 m2,3,3,apartment
New Administrative Capital,"2,334,500", 203 m2,3,3,apartment
New Administrative Capital,"1,897,000", 165 m2,3,3,apartment
New Administrative Capital,"2,392,000", 208 m2,3,3,apartment
New Administrative Capital,"1,955,000", 170 m2,3,3,apartment
New Administrative Capital,"2,093,000", 182 m2,3,3,apartment
New Administrative Capital,"2,932,500", 255 m2,3,3,apartment
New Administrative Capital,"2,012,500", 175 m2,3,3,apartment
New Administrative Capital,"1,400,000", 145 m2,3,3,apartment
New Cairo,"3,175,000", 240 m2,4,3,town-house
New Cairo,"5,520,000", 337 m2,5,3,villa
New Cairo,"1,900,000", 95 m2,2,1,chalet
New Cairo,"2,400,000", 120 m2,2,1,chalet
New Cairo,"2,650,000", 120 m2,2,1,chalet
New Cairo,"2,500,000", 120 m2,2,1,chalet
New Cairo,"2,450,000", 120 m2,2,1,chalet
New Cairo,"2,600,000", 120 m2,2,1,chalet
New Cairo,"2,695,000", 120 m2,2,1,chalet
New Cairo,"2,550,000", 120 m2,2,1,chalet
New Cairo,"2,700,000", 120 m2,2,1,chalet
New Cairo,"2,750,000", 120 m2,2,1,chalet
New Cairo,"2,500,000", 120 m2,2,1,chalet
New Cairo,"3,381,000", 140 m2,3,2,twin-house
New Cairo,"3,960,000", 180 m2,4,3,twin-house
New Cairo,"3,300,000", 180 m2,4,3,twin-house
New Cairo,"4,700,000", 205 m2,5,4,twin-house
New Cairo,"5,500,000", 280 m2,5,4,twin-house
New Cairo,"6,000,000", 281 m2,5,4,twin-house
New Cairo,"10,004,000", 190 m2,5,4,twin-house
New Cairo,"16,236,000", 200 m2,5,4,twin-house
New Cairo,"17,481,000", 255 m2,5,4,twin-house
New Cairo,"16,856,000", 255 m2,5,4,twin-house
New Cairo,"15,204,000", 255 m2,5,4,twin-house
New Cairo,"16,672,000", 305 m2,6,5,twin-house
New Cairo,"19,210,000", 310 m2,5,2,twin-house
New Administrative Capital,"1,485,000", 135 m2,3,3,apartment
New Administrative Capital,"2,392,000", 208 m2,3,3,apartment
New Administrative Capital,"1,782,500", 155 m2,3,3,apartment
New Administrative Capital,"2,932,500", 255 m2,3,3,apartment
New Administrative Capital,"2,932,500", 255 m2,3,3,apartment
New Administrative Capital,"2,334,500", 203 m2,3,3,apartment
New Administrative Capital,"1,667,500", 145 m2,3,3,apartment
New Administrative Capital,"1,897,000", 165 m2,3,3,apartment
New Administrative Capital,"1,552,500", 135 m2,3,3,apartment
New Administrative Capital,"1,955,000", 170 m2,3,3,apartment
New Administrative Capital,"2,392,000", 208 m2,3,3,apartment
New Administrative Capital,"2,093,000", 182 m2,3,3,apartment
New Administrative Capital,"2,932,500", 255 m2,3,3,apartment
New Administrative Capital,"2,334,500", 145 m2,3,3,apartment
New Administrative Capital,"2,334,500", 200 m2,3,3,apartment
Al Ain Al Sokhna,"15,000,000", 330 m2,4,3,villa
Al Ain Al Sokhna,"8,000,000", 288 m2,4,3,twin-house
Al Ain Al Sokhna,"5,500,000", 235 m2,4,3,twin-house
New Cairo,"12,760,000", 362 m2,5,4,town-house
New Cairo,"8,034,000", 260 m2,4,3,town-house
New Cairo,"15,000,000", 660 m2,5,5,villa
New Cairo,"13,678,750", 750 m2,6,6,villa
New Cairo,"13,321,800", 344 m2,5,4,villa
New Cairo,"7,046,000", 396 m2,5,4,duplex
New Cairo,"8,251,805", 291 m2,4,3,duplex
New Cairo,"7,815,396", 290 m2,4,3,duplex
New Cairo,"6,378,334", 311 m2,5,4,duplex
New Cairo,"6,229,068", 298 m2,4,3,duplex
New Cairo,"6,131,000", 310 m2,3,4,duplex
New Cairo,"6,131,000", 310 m2,4,4,duplex
New Cairo,"6,103,846", 303 m2,4,3,duplex
New Cairo,"9,568,989", 130 m2,3,2,twin-house
New Cairo,"8,050,000", 263 m2,4,3,twin-house
New Cairo,"15,367,000", 362 m2,5,4,twin-house
New Cairo,"8,050,000", 263 m2,4,3,twin-house
New Cairo,"9,569,000", 310 m2,5,3,twin-house
New Cairo,"7,500,000", 310 m2,4,3,twin-house
New Cairo,"11,585,000", 302 m2,3,3,twin-house
New Cairo,"11,907,000", 303 m2,3,3,twin-house
New Cairo,"11,718,000", 302 m2,3,3,twin-house
New Cairo,"11,432,000", 303 m2,3,3,twin-house
New Cairo,"11,961,000", 302 m2,3,3,twin-house
New Cairo,"11,911,000", 303 m2,3,3,twin-house
New Cairo,"11,979,000", 302 m2,3,3,twin-house
New Cairo,"12,130,000", 303 m2,3,3,twin-house
New Cairo,"11,466,000", 302 m2,3,3,twin-house
New Cairo,"7,158,500", 200 m2,3,2,pent-house
New Cairo,"15,713,000", 347 m2,4,3,pent-house
New Cairo,"12,241,000", 303 m2,4,3,pent-house
New Cairo,"10,647,000", 302 m2,4,3,pent-house
New Cairo,"17,358,000", 346 m2,4,3,pent-house
New Cairo,"7,098,200", 195 m2,3,2,pent-house
New Cairo,"6,525,000", 287 m2,4,3,pent-house
New Cairo,"5,895,476", 224 m2,4,3,pent-house
New Cairo,"4,065,000", 186 m2,3,2,pent-house
New Cairo,"3,778,770", 160 m2,3,2,apartment
New Cairo,"6,872,500", 200 m2,3,2,apartment
New Cairo,"6,312,500", 199 m2,3,2,apartment
New Cairo,"6,857,500", 198 m2,3,2,apartment
New Cairo,"4,217,500", 137 m2,3,2,apartment
New Cairo,"4,247,500", 138 m2,3,2,apartment
New Cairo,"6,158,500", 194 m2,3,2,apartment
New Cairo,"3,934,500", 137 m2,2,2,apartment
New Cairo,"5,658,500", 189 m2,3,2,apartment
New Cairo,"5,296,500", 197 m2,3,2,apartment
New Cairo,"5,251,500", 187 m2,3,2,apartment
New Cairo,"5,387,500", 192 m2,3,2,apartment
New Cairo,"5,166,500", 192 m2,3,2,apartment
New Cairo,"5,251,500", 187 m2,3,2,apartment
New Cairo,"5,035,500", 179 m2,3,2,apartment
New Cairo,"4,789,500", 138 m2,2,2,apartment
New Cairo,"6,399,500", 199 m2,3,2,apartment
New Cairo,"4,394,500", 139 m2,2,2,apartment
New Cairo,"5,906,500", 182 m2,3,2,apartment
New Cairo,"6,462,500", 201 m2,3,2,apartment
New Cairo,"4,364,500", 138 m2,2,2,apartment
New Cairo,"4,606,500", 154 m2,2,2,apartment
New Cairo,"4,778,500", 160 m2,2,2,apartment
New Cairo,"5,123,500", 154 m2,2,2,apartment
New Cairo,"5,251,500", 158 m2,2,2,apartment
New Cairo,"4,963,500", 149 m2,2,2,apartment
New Cairo,"6,435,500", 156 m2,2,2,apartment
New Cairo,"5,482,500", 175 m2,3,2,apartment
New Cairo,"4,270,500", 137 m2,2,2,apartment
New Cairo,"6,035,500", 189 m2,3,2,apartment
New Cairo,"5,610,500", 197 m2,3,2,apartment
New Cairo,"5,610,500", 187 m2,3,2,apartment
New Cairo,"5,721,500", 201 m2,3,2,apartment
New Cairo,"5,473,500", 192 m2,3,2,apartment
New Cairo,"5,026,500", 173 m2,3,2,apartment
New Cairo,"5,378,500", 179 m2,3,2,apartment
New Cairo,"6,606,500", 200 m2,3,2,apartment
New Cairo,"4,579,500", 138 m2,2,2,apartment
New Cairo,"6,594,500", 198 m2,3,2,apartment
New Cairo,"6,010,500", 199 m2,3,2,apartment
New Cairo,"4,157,500", 137 m2,2,2,apartment
New Cairo,"5,709,500", 183 m2,3,2,apartment
New Cairo,"5,864,500", 194 m2,3,2,apartment
New Cairo,"5,981,500", 198 m2,3,2,apartment
New Cairo,"4,186,500", 138 m2,2,2,apartment
New Cairo,"5,618,500", 180 m2,3,2,apartment
New Cairo,"5,952,500", 197 m2,3,2,apartment
New Cairo,"5,679,500", 182 m2,3,2,apartment
New Cairo,"5,709,500", 183 m2,3,2,apartment
New Cairo,"7,438,759", 199 m2,4,3,apartment
New Cairo,"6,107,000", 198 m2,4,3,apartment
New Cairo,"6,264,854", 151 m2,3,2,apartment
New Cairo,"5,612,159", 150 m2,3,2,apartment
New Cairo,"4,274,000", 181 m2,3,2,apartment
New Cairo,"4,041,181", 189 m2,3,2,apartment
New Cairo,"4,016,137", 181 m2,3,2,apartment
New Cairo,"3,871,880", 184 m2,3,2,apartment
New Cairo,"3,659,000", 160 m2,3,2,apartment
New Cairo,"3,608,412", 177 m2,3,2,apartment
New Cairo,"3,510,000", 160 m2,3,2,apartment
New Cairo,"3,360,973", 160 m2,3,2,apartment
New Cairo,"3,224,731", 159 m2,3,2,apartment
New Cairo,"3,311,885", 160 m2,3,2,apartment
New Cairo,"3,277,825", 160 m2,3,2,apartment
New Cairo,"3,103,515", 159 m2,3,2,apartment
New Cairo,"2,558,546", 127 m2,3,2,apartment
New Cairo,"6,000,000", 376 m2,5,4,villa
New Cairo,"6,500,000", 326 m2,5,4,twin-house
New Cairo,"3,650,000", 265 m2,4,4,town-house
New Cairo,"3,400,000", 269 m2,4,4,town-house
New Cairo,"5,526,000", 360 m2,4,4,twin-house
New Cairo,"5,000,000", 283 m2,4,4,twin-house
New Cairo,"4,800,000", 400 m2,4,3,town-house
New Cairo,"3,380,000", 268 m2,4,4,town-house
New Cairo,"4,300,000", 266 m2,3,4,town-house
New Administrative Capital,"3,900,000", 220 m2,4,3,villa
New Administrative Capital,"3,950,000", 300 m2,4,3,villa
New Administrative Capital,"3,000,000", 250 m2,4,3,villa
New Cairo,"3,850,000", 266 m2,3,4,town-house
New Administrative Capital,"3,200,000", 250 m2,4,3,villa
New Cairo,"6,000,000", 283 m2,4,4,town-house
New Administrative Capital,"3,000,000", 250 m2,4,3,villa
New Cairo,"4,400,000", 267 m2,3,3,town-house
New Administrative Capital,"3,750,000", 272 m2,4,3,villa
New Cairo,"3,850,000", 260 m2,4,3,town-house
New Cairo,"7,000,000", 372 m2,4,4,villa
New Administrative Capital,"8,100,000", 450 m2,4,3,villa
New Cairo,"4,100,000", 380 m2,4,4,town-house
New Administrative Capital,"8,100,000", 432 m2,4,3,villa
New Cairo,"4,500,000", 340 m2,4,4,town-house
New Administrative Capital,"3,680,000", 320 m2,4,3,villa
New Cairo,"4,700,000", 400 m2,4,4,town-house
New Administrative Capital,"3,950,000", 288 m2,4,3,villa
New Cairo,"3,300,000", 266 m2,4,4,town-house
New Administrative Capital,"7,950,000", 432 m2,4,3,villa
New Cairo,"4,999,000", 400 m2,4,4,twin-house
New Cairo,"5,850,000", 420 m2,4,4,twin-house
New Administrative Capital,"3,220,000", 280 m2,4,3,villa
New Cairo,"6,350,000", 300 m2,4,4,town-house
New Cairo,"5,750,000", 283 m2,5,4,twin-house
New Administrative Capital,"3,105,000", 270 m2,4,3,villa
New Cairo,"3,800,000", 260 m2,4,4,town-house
New Cairo,"4,000,000", 272 m2,4,4,town-house
New Administrative Capital,"8,000,000", 450 m2,4,3,villa
New Cairo,"7,500,000", 376 m2,5,4,villa
New Administrative Capital,"5,000,000", 326 m2,4,3,villa
New Cairo,"3,250,000", 326 m2,4,4,twin-house
New Cairo,"2,500,000", 266 m2,4,4,town-house
New Cairo,"4,000,000", 309 m2,4,4,twin-house
New Administrative Capital,"3,680,000", 320 m2,4,3,villa
New Cairo,"3,287,000", 247 m2,3,3,town-house
New Cairo,"5,900,000", 283 m2,4,3,twin-house
New Administrative Capital,"3,950,000", 250 m2,4,3,villa
New Cairo,"9,750,000", 375 m2,4,4,villa
New Administrative Capital,"3,950,000", 220 m2,4,3,villa
New Cairo,"3,060,000", 266 m2,3,3,town-house
New Cairo,"3,800,000", 266 m2,3,3,town-house
New Cairo,"5,150,000", 270 m2,4,4,town-house
New Cairo,"4,600,000", 270 m2,3,3,town-house
New Cairo,"5,000,000", 380 m2,3,3,town-house
New Cairo,"4,000,000", 380 m2,4,4,town-house
New Cairo,"5,200,000", 400 m2,4,4,twin-house
New Cairo,"4,650,000", 250 m2,4,4,
New Cairo,"4,200,000", 400 m2,4,4,town-house
New Cairo,"5,450,000", 283 m2,4,4,twin-house
New Cairo,"3,900,000", 260 m2,3,3,town-house
New Cairo,"4,650,000", 282 m2,4,4,villa
New Cairo,"7,300,000", 326 m2,4,4,twin-house
New Cairo,"3,300,000", 260 m2,3,3,town-house
New Cairo,"3,700,000", 260 m2,3,3,town-house
New Cairo,"3,500,000", 266 m2,4,4,town-house
New Cairo,"4,350,000", 270 m2,4,4,town-house
New Cairo,"3,600,000", 266 m2,4,4,town-house
New Cairo,"5,500,000", 283 m2,3,4,twin-house
New Cairo,"4,300,000", 270 m2,4,4,town-house
New Cairo,"6,200,000", 326 m2,3,4,twin-house
New Cairo,"6,200,000", 310 m2,4,4,twin-house
New Cairo,"1,370,143", 75 m2,2,1,apartment
New Cairo,"3,253,506", 160 m2,3,2,apartment
New Cairo,"3,726,977", 181 m2,3,2,apartment
New Cairo,"2,768,344", 122 m2,2,2,apartment
New Cairo,"3,786,559", 191 m2,3,2,apartment
New Cairo,"3,605,394", 185 m2,3,2,apartment
New Cairo,"2,377,877", 121 m2,2,2,apartment
New Cairo,"2,792,895", 157 m2,3,2,apartment
New Cairo,"3,378,596", 172 m2,3,2,apartment
New Cairo,"3,631,114", 188 m2,3,2,apartment
New Cairo,"3,605,394", 185 m2,3,2,apartment
New Cairo,"2,936,689", 159 m2,3,2,apartment
New Cairo,"2,838,488", 164 m2,3,2,apartment
New Cairo,"2,860,700", 153 m2,3,2,apartment
New Cairo,"2,048,201", 114 m2,2,1,apartment
New Cairo,"1,813,219", 100 m2,2,1,apartment
New Cairo,"3,162,319", 168 m2,2,2,apartment
New Cairo,"2,974,723", 143 m2,2,2,apartment
New Cairo,"3,131,923", 170 m2,3,2,apartment
New Cairo,"1,609,801", 83 m2,1,1,apartment
New Cairo,"1,220,503", 69 m2,1,1,apartment
New Cairo,"4,664,566", 242 m2,4,3,apartment
New Cairo,"4,899,548", 237 m2,4,3,apartment
New Cairo,"4,993,073", 228 m2,4,3,apartment
New Cairo,"3,950,268", 206 m2,4,3,apartment
New Cairo,"4,986,059", 226 m2,4,3,apartment
New Cairo,"2,955,394", 169 m2,3,2,apartment
New Cairo,"2,827,966", 153 m2,3,2,apartment
New Cairo,"2,209,531", 119 m2,2,2,apartment
New Cairo,"2,080,934", 128 m2,2,2,apartment
New Cairo,"3,257,013", 182 m2,3,2,apartment
New Cairo,"2,740,287", 159 m2,3,2,apartment
New Cairo,"2,792,895", 166 m2,3,2,apartment
New Cairo,"2,187,319", 130 m2,2,2,apartment
New Cairo,"3,418,344", 184 m2,3,2,apartment
New Cairo,"1,121,133", 64 m2,1,1,apartment
New Cairo,"2,170,952", 122 m2,2,2,apartment
New Cairo,"2,368,524", 124 m2,2,2,apartment
New Cairo,"2,691,186", 123 m2,2,2,apartment
New Cairo,"3,292,085", 185 m2,2,2,apartment
New Cairo,"10,649,006", 204 m2,3,3,apartment
New Cairo,"14,539,652", 247 m2,4,3,apartment
New Cairo,"17,145,497", 317 m2,4,3,apartment
New Cairo,"12,600,175", 244 m2,3,3,apartment
New Cairo,"19,385,424", 362 m2,4,3,apartment
New Cairo,"14,508,088", 280 m2,4,3,apartment
New Cairo,"4,033,272", 81 m2,1,1,apartment
New Cairo,"3,745,682", 74 m2,1,1,apartment
New Cairo,"5,038,667", 105 m2,2,2,apartment
New Cairo,"11,572,567", 216 m2,4,3,apartment
New Cairo,"5,087,500", 275 m2,4,4,town-house
New Cairo,"4,921,000", 266 m2,4,4,town-house
New Cairo,"5,494,500", 297 m2,4,4,town-house
New Cairo,"4,995,500", 270 m2,4,4,town-house
New Cairo,"5,365,000", 290 m2,4,4,twin-house
New Cairo,"5,716,500", 309 m2,4,4,twin-house
New Cairo,"5,235,500", 283 m2,4,4,twin-house
New Cairo,"6,031,000", 326 m2,4,4,twin-house
New Cairo,"8,500,000", 339 m2,5,3,villa
New Cairo,"6,956,500", 376 m2,4,4,villa
New Cairo,"6,937,500", 375 m2,4,4,villa
6th October,"8,986,300", 202 m2,4,3,apartment
6th October,"6,743,000", 223 m2,4,4,apartment
6th October,"6,312,360", 183 m2,3,2,apartment
6th October,"4,018,820", 120 m2,2,1,apartment
6th October,"3,858,530", 103 m2,1,1,apartment
6th October,"5,917,850", 180 m2,3,2,apartment
6th October,"18,000,000", 390 m2,5,4,pent-house
6th October,"8,646,210", 202 m2,4,3,apartment
6th October,"1,650,000", 76 m2,1,1,apartment
6th October,"6,248,500", 281 m2,3,2,twin-house
6th October,"6,248,500", 281 m2,4,3,twin-house
6th October,"3,854,900", 183 m2,3,2,twin-house
6th October,"6,092,300", 282 m2,4,3,twin-house
6th October,"4,887,600", 234 m2,4,3,twin-house
6th October,"3,758,400", 189 m2,3,2,town-house
6th October,"2,292,339", 122 m2,2,2,pent-house
6th October,"3,989,471", 217 m2,4,2,pent-house
6th October,"3,500,600", 245 m2,4,3,pent-house
6th October,"2,045,300", 172 m2,3,2,pent-house
6th October,"3,338,900", 245 m2,4,3,pent-house
6th October,"2,800,900", 218 m2,4,3,pent-house
6th October,"5,888,600", 254 m2,4,3,villa
6th October,"6,654,000", 313 m2,5,3,villa
6th October,"8,234,100", 371 m2,4,3,villa
6th October,"26,988,800", 610 m2,6,7,villa
6th October,"8,444,100", 371 m2,5,4,villa
6th October,"6,248,500", 281 m2,3,2,villa
6th October,"8,865,100", 371 m2,4,2,villa
6th October,"1,934,100", 146 m2,3,2,apartment
6th October,"2,256,400", 178 m2,3,2,apartment
6th October,"2,256,400", 177 m2,3,2,apartment
6th October,"1,898,700", 143 m2,3,2,apartment
6th October,"2,114,900", 143 m2,3,2,apartment
6th October,"3,030,700", 222 m2,3,2,apartment
6th October,"2,891,200", 233 m2,3,2,apartment
6th October,"2,349,500", 177 m2,3,2,apartment
6th October,"2,207,500", 177 m2,3,2,apartment
6th October,"2,109,700", 177 m2,3,2,apartment
6th October,"2,104,600", 177 m2,3,2,apartment
6th October,"6,041,500", 253 m2,3,2,apartment
6th October,"6,824,300", 312 m2,4,2,apartment
6th October,"7,525,000", 347 m2,4,2,apartment
6th October,"10,495,000", 503 m2,5,4,villa
6th October,"3,280,000", 234 m2,3,2,apartment
6th October,"1,729,000", 141 m2,3,2,apartment
6th October,"1,161,300", 82 m2,2,2,apartment
6th October,"1,183,800", 83 m2,2,2,apartment
6th October,"1,905,400", 133 m2,3,2,apartment
6th October,"1,487,700", 99 m2,2,2,apartment
6th October,"4,299,100", 187 m2,3,2,apartment
6th October,"3,854,900", 183 m2,3,2,apartment
6th October,"2,468,500", 195 m2,3,2,apartment
6th October,"3,650,600", 245 m2,3,2,apartment
6th October,"2,452,200", 171 m2,3,2,apartment
6th October,"2,868,600", 233 m2,3,2,apartment
6th October,"3,352,100", 247 m2,3,2,apartment
6th October,"2,196,900", 185 m2,3,2,apartment
6th October,"2,214,200", 186 m2,3,2,apartment
6th October,"2,505,800", 187 m2,3,2,apartment
6th October,"1,873,500", 137 m2,3,2,apartment
6th October,"1,567,900", 104 m2,2,2,apartment
6th October,"2,255,700", 163 m2,3,2,apartment
6th October,"1,134,000", 84 m2,2,2,apartment
6th October,"1,146,200", 85 m2,2,2,apartment
6th October,"1,312,900", 97 m2,2,2,apartment
6th October,"1,297,700", 96 m2,2,2,apartment
6th October,"2,960,500", 252 m2,3,2,apartment
6th October,"3,121,800", 253 m2,3,2,apartment
6th October,"1,741,100", 129 m2,3,2,apartment
6th October,"2,098,400", 176 m2,3,2,apartment
6th October,"3,037,800", 220 m2,3,2,apartment
6th October,"1,742,000", 142 m2,3,2,apartment
6th October,"4,783,400", 197 m2,3,2,apartment
6th October,"2,891,200", 222 m2,3,2,apartment
6th October,"1,983,100", 144 m2,3,2,apartment
6th October,"2,635,864", 147 m2,2,2,apartment
6th October,"3,102,238", 178 m2,3,2,apartment
6th October,"2,560,810", 144 m2,2,2,apartment
6th October,"2,510,398", 141 m2,2,2,apartment
6th October,"2,797,614", 174 m2,3,2,apartment
6th October,"2,769,338", 172 m2,3,2,apartment
6th October,"3,101,204", 176 m2,3,2,apartment
6th October,"2,618,712", 146 m2,2,2,apartment
6th October,"1,729,000", 141 m2,3,2,apartment
6th October,"2,738,600", 195 m2,3,2,apartment
6th October,"2,960,500", 252 m2,4,3,apartment
6th October,"2,868,600", 233 m2,4,3,apartment
6th October,"2,432,000", 195 m2,3,2,apartment
6th October,"1,678,500", 137 m2,3,2,apartment
6th October,"1,486,900", 99 m2,2,2,apartment
6th October,"2,739,000", 234 m2,4,3,apartment
6th October,"2,255,800", 176 m2,3,2,apartment
6th October,"2,090,600", 171 m2,3,2,apartment
6th October,"2,026,400", 143 m2,3,2,apartment
6th October,"1,669,600", 130 m2,3,2,apartment
6th October,"1,365,800", 99 m2,2,2,apartment
6th October,"1,081,400", 84 m2,2,2,apartment
6th October,"3,700,000", 175 m2,2,2,pent-house
6th October,"3,350,000", 204 m2,3,3,villa
6th October,"3,250,000", 265 m2,3,3,villa
6th October,"3,800,000", 189 m2,3,4,villa
6th October,"3,400,000", 245 m2,3,3,villa
6th October,"3,432,629", 152 m2,2,2,apartment
6th October,"3,500,000", 300 m2,4,3,duplex
6th October,"3,950,000", 208 m2,3,4,duplex
6th October,"3,300,000", 212 m2,4,4,studio
6th October,"3,000,000", 254 m2,4,4,villa
6th October,"3,950,000", 210 m2,4,4,villa
6th October,"5,656,636", 302 m2,3,4,villa
6th October,"3,200,000", 220 m2,3,3,villa
6th October,"3,500,000", 256 m2,4,3,villa
6th October,"3,231,372", 174 m2,3,3,pent-house
6th October,"4,500,000", 362 m2,3,5,town-house
6th October,"3,200,000", 360 m2,4,4,twin-house
6th October,"3,500,000", 153 m2,2,2,apartment
6th October,"3,000,000", 150 m2,3,2,apartment
6th October,"3,255,000", 260 m2,3,3,villa
6th October,"3,250,000", 264 m2,4,3,villa
6th October,"3,300,000", 204 m2,3,3,villa
Al Ain Al Sokhna,"10,131,000", 270 m2,5,4,villa
Al Ain Al Sokhna,"3,000,000", 158 m2,3,3,twin-house
Al Ain Al Sokhna,"7,301,000", 210 m2,4,3,twin-house
Al Ain Al Sokhna,"3,648,540", 448 m2,5,5,villa
Al Ain Al Sokhna,"7,700,000", 210 m2,4,3,twin-house
Al Ain Al Sokhna,"2,075,700", 185 m2,3,2,twin-house
Al Ain Al Sokhna,"5,832,000", 175 m2,3,2,town-house
Al Ain Al Sokhna,"5,280,000", 150 m2,3,2,town-house
Al Ain Al Sokhna,"5,500,000", 150 m2,3,2,town-house
Al Ain Al Sokhna,"3,500,000", 155 m2,2,2,chalet
Al Ain Al Sokhna,"3,000,000", 100 m2,2,2,chalet
Al Ain Al Sokhna,"2,691,000", 100 m2,2,2,chalet
Al Ain Al Sokhna,"5,113,000", 151 m2,3,2,chalet
Al Ain Al Sokhna,"2,571,000", 110 m2,3,2,chalet-with-garden
Al Ain Al Sokhna,"2,645,000", 123 m2,2,2,chalet
Al Ain Al Sokhna,"2,756,000", 147 m2,2,2,chalet
Al Ain Al Sokhna,"3,856,000", 132 m2,3,2,chalet-with-garden
Al Ain Al Sokhna,"2,967,000", 139 m2,3,2,chalet
Al Ain Al Sokhna,"2,718,681", 105 m2,3,2,chalet
Al Ain Al Sokhna,"2,800,000", 155 m2,2,2,chalet
Al Ain Al Sokhna,"3,100,000", 100 m2,2,2,chalet-with-garden
Al Ain Al Sokhna,"2,700,000", 100 m2,2,2,chalet
New Cairo,"7,000,000", 378 m2,5,3,villa
New Cairo,"2,331,840", 79 m2,1,1,studio
New Cairo,"1,151,000", 50 m2,1,1,studio
New Cairo,"1,357,778", 46 m2,1,1,studio
New Cairo,"3,500,000", 205 m2,4,2,duplex
New Cairo,"3,500,000", 212 m2,4,3,duplex
New Cairo,"5,700,000", 285 m2,4,3,duplex
New Cairo,"2,150,000", 143 m2,3,2,duplex
New Cairo,"2,600,000", 178 m2,3,2,apartment
New Cairo,"4,000,000", 176 m2,3,2,apartment
New Cairo,"3,000,000", 177 m2,3,2,apartment
New Cairo,"2,600,000", 178 m2,3,2,apartment
New Cairo,"2,950,000", 175 m2,3,2,apartment
New Cairo,"3,500,000", 188 m2,3,2,apartment
New Cairo,"7,428,000", 270 m2,4,3,apartment
New Cairo,"2,450,000", 143 m2,3,2,apartment
New Cairo,"3,190,000", 200 m2,4,3,apartment
New Cairo,"2,310,000", 165 m2,3,2,pent-house
New Cairo,"5,755,000", 300 m2,5,3,twin-house
New Cairo,"4,262,500", 245 m2,4,3,apartment
New Cairo,"2,220,000", 175 m2,3,2,apartment
New Cairo,"1,890,000", 135 m2,2,2,apartment
New Cairo,"3,600,000", 260 m2,4,3,apartment
New Cairo,"2,850,000", 185 m2,3,2,apartment
New Cairo,"2,467,500", 175 m2,3,2,apartment
6th October,"3,800,000", 103 m2,1,2,apartment
6th October,"2,500,000", 63 m2,1,1,studio
6th October,"4,767,000", 153 m2,3,2,apartment
6th October,"2,825,000", 170 m2,3,4,apartment
6th October,"5,089,000", 151 m2,2,2,apartment
6th October,"3,700,000", 236 m2,5,3,pent-house
6th October,"4,200,000", 232 m2,3,4,apartment
New Cairo,"14,900,500", 440 m2,4,4,villa
New Cairo,"14,900,000", 439 m2,4,4,villa
New Cairo,"15,900,000", 494 m2,4,4,villa
New Cairo,"11,775,000", 488 m2,6,4,villa
New Cairo,"9,380,000", 305 m2,3,2,twin-house
New Cairo,"9,400,000", 306 m2,3,2,twin-house
New Cairo,"9,400,000", 307 m2,3,2,twin-house
New Cairo,"7,700,000", 302 m2,5,3,twin-house
New Cairo,"6,900,000", 249 m2,4,3,town-house
New Cairo,"6,800,000", 240 m2,4,3,town-house
New Cairo,"6,600,000", 238 m2,3,2,town-house
New Cairo,"6,500,000", 237 m2,3,2,town-house
New Cairo,"5,995,000", 247 m2,4,3,town-house
6th October,"2,975,000", 170 m2,3,3,apartment
New Cairo,"3,552,332", 152 m2,3,2,pent-house
New Cairo,"1,967,904", 161 m2,3,2,apartment
New Cairo,"2,539,680", 173 m2,3,2,apartment
New Cairo,"1,641,096", 129 m2,3,2,apartment
New Cairo,"1,440,000", 125 m2,3,2,apartment
New Cairo,"1,440,000", 125 m2,3,2,apartment
New Cairo,"1,494,000", 130 m2,3,2,apartment
New Cairo,"1,433,189", 130 m2,3,2,apartment
New Cairo,"1,494,000", 130 m2,3,2,apartment
New Cairo,"1,550,160", 130 m2,3,2,apartment
New Cairo,"1,544,000", 130 m2,3,2,apartment
New Cairo,"1,586,880", 135 m2,3,2,apartment
New Cairo,"1,496,880", 135 m2,3,2,apartment
New Cairo,"1,586,880", 135 m2,3,2,apartment
New Cairo,"1,586,880", 135 m2,3,2,apartment
New Cairo,"1,567,440", 135 m2,3,2,apartment
New Cairo,"1,617,440", 135 m2,3,2,apartment
New Cairo,"1,884,816", 164 m2,3,2,apartment
New Cairo,"1,892,304", 168 m2,3,2,apartment
New Cairo,"1,868,112", 168 m2,3,2,apartment
New Cairo,"1,709,712", 152 m2,3,2,apartment
